"author","undated_poem_count"
"祝穆","2"
"祝钦明","2"
"庄翱","2"
"紫姑","2"
"紫微孙处士","2"
"邹浩","2"
"邹绍先","2"
"祖吴","2"
"[严]续姬","1"
"□嘉惠","1"
"□阳","1"
"安凤","1"
"安鸿渐","1"
"安锜","1"
"安守范","1"
"安邑坊女","1"
"巴陵馆鬼","1"
"巴谈","1"
"巴峡鬼","1"
"巴州守","1"
"白衫举子","1"
"包恢","1"
"包荣父","1"
"包颕","1"
"包颖","1"
"宝津","1"
"宝历宫人","1"
"保初","1"
"鲍氏君[徽]微","1"
"卑叔文","1"
"本空","1"
"毕干泰","1"
"碧虚","1"
"蔡瓌","1"
"蔡确","1"
"蔡文恭","1"
"蔡希周","1"
"蔡押衙","1"
"蔡幼学","1"
"蔡允恭","1"
"蔡真人","1"
"沧浩","1"
"曹良史","1"
"曹稆孙","1"
"曹戵","1"
"曹生","1"
"曹文姬","1"
"曹修古","1"
"曹彦约","1"
"曹真人","1"
"草夫人","1"
"岑义","1"
"曾崇范妻","1"
"曾逮","1"
"曾诞","1"
"曾惇","1"
"曾巩","1"
"曾宏正","1"
"曾扈","1"
"曾开国","1"
"曾隶","1"
"曾麻几","1"
"曾乾曜","1"
"曾晞颜","1"
"曾颜","1"
"曾寅孙","1"
"曾肇","1"
"曾中思","1"
"查","1"
"查文徽","1"
"查元方","1"
"禅峰","1"
"常非月","1"
"常雅","1"
"常沂","1"
"畅甫","1"
"晁公武","1"
"晁祖道","1"
"陈璧","1"
"陈秉文","1"
"陈草阁","1"
"陈成之","1"
"陈乘","1"
"陈充","1"
"陈从古","1"
"陈璀","1"
"陈端","1"
"陈璠","1"
"陈凤仪","1"
"陈敷","1"
"陈甫","1"
"陈鹄","1"
"陈合","1"
"陈祜","1"
"陈嘉","1"
"陈居仁","1"
"陈垲","1"
"陈梦协","1"
"陈凝","1"
"陈潜心","1"
"陈日章","1"
"陈汝羲","1"
"陈闰","1"
"陈若晦","1"
"陈若水","1"
"陈善","1"
"陈上卿","1"
"陈诜","1"
"陈士豪","1"
"陈曙","1"
"陈述","1"
"陈舜翁","1"
"陈素风","1"
"陈孙","1"
"陈蜕","1"
"陈惟哲","1"
"陈文弼","1"
"陈无咎","1"
"陈嶰","1"
"陈秀才","1"
"陈彦","1"
"陈彦章妻","1"
"陈谊","1"
"陈咏","1"
"陈玉兰","1"
"陈元初","1"
"陈元裕","1"
"陈长官","1"
"陈昭","1"
"陈政","1"
"陈知柔","1"
"陈致雍","1"
"陈中师","1"
"陈祖安","1"
"成都醉道士","1"
"成公简","1"
"成文干","1"
"成㟧","1"
"程伯春","1"
"程东湾","1"
"程和仲","1"
"程邻","1"
"程洛宾","1"
"程梅斋","1"
"程弥纶","1"
"程师孟","1"
"程氏长文","1"
"程先","1"
"程行谌","1"
"程序","1"
"程准","1"
"楚儿","1"
"楚娘","1"
"处真","1"
"春娘","1"
"慈恩寺沙门","1"
"慈觉","1"
"从范","1"
"从朗","1"
"崔□","1"
"崔常侍","1"
"崔成甫","1"
"崔幢","1"
"崔涤","1"
"崔藩","1"
"崔耿","1"
"崔公辅","1"
"崔公佐客","1"
"崔恭","1"
"崔怀宝","1"
"崔惠童","1"
"崔季卿","1"
"崔建","1"
"崔江","1"
"崔李二生","1"
"崔敏童","1"
"崔岐","1"
"崔锜","1"
"崔若砺","1"
"崔尚","1"
"崔少玄","1"
"崔氏","1"
"崔素娥","1"
"崔行检","1"
"崔郾","1"
"崔元明","1"
"崔中","1"
"崔紫云","1"
"崔宗","1"
"崔宗之","1"
"翠微翁","1"
"村寺僧","1"
"存初公","1"
"措多","1"
"大颠","1"
"大同济禅师","1"
"大闲","1"
"大愚","1"
"大宗","1"
"代宗","1"
"戴察","1"
"戴复古妻","1"
"戴公怀","1"
"戴光乂","1"
"戴良","1"
"戴寥","1"
"戴平之","1"
"戴山隐","1"
"戴休珽","1"
"躭章","1"
"淡然","1"
"道常","1"
"道恭","1"
"道会","1"
"道朗","1"
"道吾和尚","1"
"道彦","1"
"德韶","1"
"德宗宫人","1"
"德宗皇帝李适","1"
"德最","1"
"邓廷闻","1"
"邓洵美","1"
"邓倚","1"
"邓陟","1"
"狄常侍","1"
"狄仁杰","1"
"丁察院","1"
"丁持正","1"
"丁黼","1"
"丁几仲","1"
"丁居晦","1"
"丁羲叟","1"
"丁仙现","1"
"丁仲远","1"
"丁注","1"
"定御","1"
"东冈","1"
"董初","1"
"董大仙","1"
"董德元","1"
"董武子","1"
"都下妓","1"
"豆卢岑","1"
"豆卢回","1"
"窦昉","1"
"窦夫人","1"
"窦弘余","1"
"窦冀","1"
"窦蒙","1"
"窦俨","1"
"窦裕","1"
"独孤申叔","1"
"独孤实","1"
"独孤遐叔妻白氏","1"
"独孤贞节","1"
"杜安道","1"
"杜大中妾","1"
"杜东","1"
"杜鸿渐","1"
"杜寂","1"
"杜兼","1"
"杜建徽","1"
"杜良臣","1"
"杜仁杰","1"
"杜俨","1"
"杜旃","1"
"杜之松","1"
"杜周士","1"
"段谷","1"
"段宏章","1"
"段倚","1"
"萼岭书生","1"
"尔鸟","1"
"尔朱翺","1"
"法常","1"
"法达","1"
"法海","1"
"法进","1"
"法觐","1"
"法轮","1"
"法满","1"
"樊忱","1"
"樊寔","1"
"繁知一","1"
"范崇","1"
"范纯仁","1"
"范的","1"
"范飞","1"
"范宽之","1"
"范梦龙","1"
"范洒心","1"
"范氏子","1"
"范文","1"
"范炎","1"
"范夜","1"
"范赞时","1"
"范致虚","1"
"范智闻","1"
"方衡","1"
"方君遇","1"
"方味道","1"
"方信孺","1"
"方愚","1"
"方棫","1"
"方泽","1"
"方资","1"
"房融","1"
"房孺复","1"
"房旭","1"
"费时举","1"
"瀵水神","1"
"丰禅师","1"
"封抱一","1"
"封行高","1"
"冯道幕客","1"
"冯道之","1"
"冯晖","1"
"冯戡","1"
"冯熔","1"
"冯少吉","1"
"冯应瑞","1"
"冯渚","1"
"奉蚌","1"
"伏牛小师","1"
"符昭远","1"
"符子珪","1"
"福建士子","1"
"福全","1"
"复礼","1"
"傅伯达","1"
"傅温","1"
"傅自得","1"
"富ノ","1"
"赋梅","1"
"甘洽","1"
"高鹤林","1"
"高迈","1"
"高若拙","1"
"高绍","1"
"高士廉","1"
"高亭","1"
"高惟月","1"
"高宣教","1"
"高瀛","1"
"高元矩","1"
"高远","1"
"高越","1"
"高智周","1"
"高祖","1"
"纥干讽","1"
"葛氏女","1"
"葛玄","1"
"隔窗鬼","1"
"公畿和尚","1"
"公孙杲","1"
"龚日升","1"
"勾令玄","1"
"勾龙逢","1"
"鼓峰","1"
"顾卞","1"
"顾伟","1"
"顾効古","1"
"关咏","1"
"观梅女仙","1"
"管雄甫","1"
"光	威	裒","1"
"广陵道士","1"
"广文诸生","1"
"归氏子","1"
"郭□□","1"
"郭恭","1"
"郭讵","1"
"郭求","1"
"郭仁表","1"
"郭汭","1"
"郭绍兰","1"
"郭思","1"
"郭廷谓","1"
"郭祥正","1"
"郭向","1"
"郭邕","1"
"郭章","1"
"郭正一","1"
"郭仲宣","1"
"郭仲循","1"
"国邵南","1"
"国学生","1"
"海哥","1"
"韩察","1"
"韩垂","1"
"韩定辞","1"
"韩璜","1"
"韩嘉彦","1"
"韩绛","1"
"韩泰","1"
"韩王从善","1"
"韩王元嘉","1"
"韩熙载客","1"
"韩喜","1"
"韩仙姑","1"
"韩信同","1"
"韩雄","1"
"韩续","1"
"韩弇","1"
"韩彦古","1"
"韩仪","1"
"韩屿","1"
"韩昭裔","1"
"韩缜姬","1"
"韩准","1"
"汉皓","1"
"浩虚舟","1"
"何昌龄","1"
"何承裕","1"
"何锄翁","1"
"何得之","1"
"何光大","1"
"何景山","1"
"何敬","1"
"何涓","1"
"何令修","1"
"何儒亮","1"
"何师心","1"
"何蓑衣道人","1"
"何象","1"
"何元上","1"
"何赞","1"
"何仲宣","1"
"何籀","1"
"何作善","1"
"河[湄]鬼","1"
"河中鬼","1"
"贺敱","1"
"贺公","1"
"贺及","1"
"贺兰求","1"
"贺兰遂","1"
"贺兰暹","1"
"贺遂亮","1"
"贺遂涉","1"
"衡州舟子","1"
"红螺山和尚","1"
"洪惠英","1"
"洪寿","1"
"洪州将军","1"
"洪子大","1"
"洪子舆","1"
"侯蒙","1"
"侯彭老","1"
"侯氏","1"
"后蜀嗣主孟昶","1"
"后蜀主孟昶","1"
"后唐厨官","1"
"胡传美","1"
"胡德芳","1"
"胡夫人","1"
"胡杲","1"
"胡徽","1"
"胡权","1"
"胡幼黄","1"
"胡元龟","1"
"胡运","1"
"胡仲弓","1"
"胡擢","1"
"扈载","1"
"花仲胤","1"
"华清淑","1"
"华山老人","1"
"淮南幕吏","1"
"淮上女","1"
"桓颙","1"
"寰普","1"
"皇甫斌","1"
"皇甫大夫","1"
"皇甫继勋","1"
"黄蟾","1"
"黄诚之","1"
"黄定","1"
"黄幡绰","1"
"黄夫人","1"
"黄革","1"
"黄格","1"
"黄冠野夫","1"
"黄霁宇","1"
"黄静淑","1"
"黄可","1"
"黄麟","1"
"黄陵美人","1"
"黄某","1"
"黄判院","1"
"黄仁荣","1"
"黄山隐","1"
"黄师参","1"
"黄叔达","1"
"黄水村","1"
"黄舜英","1"
"黄谈","1"
"黄廷璹","1"
"黄庭佐","1"
"黄通判","1"
"黄童","1"
"黄文","1"
"黄岩叟","1"
"黄应武","1"
"黄右曹","1"
"黄宰","1"
"黄中","1"
"黄子功","1"
"黄子棱","1"
"晖和尚","1"
"晦庵","1"
"惠敏","1"
"惠文太子","1"
"惠𫖮","1"
"慧藏","1"
"慧集法师","1"
"慧坚","1"
"吉皎","1"
"吉王从谦","1"
"吉中孚妻张氏","1"
"纪唐天","1"
"季方","1"
"季广琛","1"
"季仲砥","1"
"冀金","1"
"贾逋","1"
"贾昌朝","1"
"贾少卿","1"
"贾竦","1"
"贾言淑","1"
"贾奕","1"
"贾逸祖","1"
"贾应","1"
"贾元逊","1"
"贾宗","1"
"建业卜者","1"
"江汉","1"
"江津","1"
"江景防","1"
"江陵士子","1"
"江满昌","1"
"江袤","1"
"江史君","1"
"江万里","1"
"江纬","1"
"江无□","1"
"江衍","1"
"江直木","1"
"江致和","1"
"姜个翁","1"
"姜晞","1"
"蒋璨","1"
"蒋密","1"
"蒋氏","1"
"蒋氏女","1"
"蒋宗简","1"
"解叔禄","1"
"解彦融","1"
"介胄鬼","1"
"金昌绪","1"
"金昌宗","1"
"金德淑","1"
"金可纪","1"
"金立之","1"
"金淑柔","1"
"金云卿","1"
"金真德","1"
"京师小子弟","1"
"京兆韦氏子","1"
"荆冬倩","1"
"荆人","1"
"荆叔","1"
"荆州僧","1"
"景池","1"
"景龙文馆学士","1"
"敬相","1"
"静泰","1"
"九华山白衣","1"
"久则","1"
"菊翁","1"
"剧燕","1"
"觉隐","1"
"开宝中江南叟","1"
"开成朝士","1"
"开元宫人","1"
"康道","1"
"康骈","1"
"康庭芝","1"
"康翊仁","1"
"康仲伯","1"
"可隆","1"
"可勋","1"
"客户里女子","1"
"孔平仲","1"
"孔颙","1"
"寇寺丞","1"
"寇埴","1"
"窥基","1"
"来济","1"
"蓝采和","1"
"懒堂女子","1"
"郎余令","1"
"朗上座","1"
"乐伸","1"
"乐史","1"
"乐婉","1"
"乐仲卿","1"
"了元","1"
"冷朝光","1"
"骊山游人","1"
"黎道静","1"
"黎瓘","1"
"李□","1"
"李翺","1"
"李邦献","1"
"李伯虎","1"
"李伯良","1"
"李昌遇","1"
"李忱","1"
"李澄之","1"
"李从谦","1"
"李从远","1"
"李漼","1"
"李大宝","1"
"李得","1"
"李都","1"
"李度","1"
"李端公","1"
"李敦诗","1"
"李范","1"
"李峰","1"
"李福业","1"
"李公佐仆","1"
"李归唐","1"
"李好古2","1"
"李浩弼","1"
"李何","1"
"李和风","1"
"李恒","1"
"李弘茂","1"
"李宏模","1"
"李祜","1"
"李花开","1"
"李淮","1"
"李澣","1"
"李慧之","1"
"李季萼","1"
"李季华","1"
"李季兰","1"
"李嘉运","1"
"李兼","1"
"李建枢","1"
"李建业","1"
"李节","1"
"李京","1"
"李景良","1"
"李景遂","1"
"李敬则","1"
"李靖","1"
"李君武","1"
"李君行","1"
"李堪","1"
"李伉","1"
"李克恭","1"
"李夔","1"
"李令","1"
"李伦","1"
"李密","1"
"李明","1"
"李溟","1"
"李南金","1"
"李朋","1"
"李鹏","1"
"李平","1"
"李朴","1"
"李钦止","1"
"李清臣","1"
"李璆","1"
"李铨","1"
"李仁悦","1"
"李日新","1"
"李日知","1"
"李如璧","1"
"李善美","1"
"李善宁之子","1"
"李韶","1"
"李升","1"
"李生","1"
"李石才","1"
"李氏1","1"
"李氏2","1"
"李世民","1"
"李侍御","1"
"李寿朋","1"
"李叔霁","1"
"李霜涯","1"
"李思聪","1"
"李损之","1"
"李潭","1"
"李坦然","1"
"李璮","1"
"李体仁","1"
"李天骥","1"
"李廷璧","1"
"李头陀","1"
"李团湖","1"
"李渭","1"
"李蔚","1"
"李习","1"
"李咸","1"
"李敻","1"
"李秀兰","1"
"李许","1"
"李序","1"
"李续","1"
"李勋","1"
"李询","1"
"李延陵","1"
"李颜","1"
"李彦𬀩","1"
"李曜","1"
"李邺","1"
"李晔","1"
"李夷邺","1"
"李义山","1"
"李驿","1"
"李逸","1"
"李寅仲","1"
"李婴","1"
"李虞","1"
"李羽","1"
"李庾","1"
"李玉","1"
"李玉箫","1"
"李郁","1"
"李裕翁","1"
"李渊","1"
"李元礼","1"
"李元卓","1"
"李芸子","1"
"李赞华","1"
"李沼","1"
"李缜","1"
"李振祖","1"
"李震","1"
"李征古","1"
"李之问","1"
"李挚","1"
"李致远","1"
"李仲虺","1"
"李昼","1"
"李胄","1"
"李主簿","1"
"李主簿姬","1"
"李子昂","1"
"李子申","1"
"李子酉","1"
"李𬜪","1"
"理莹","1"
"醴陵士人","1"
"厉寺正","1"
"厉翼","1"
"厉元范","1"
"立斋","1"
"吏部选人","1"
"利涉","1"
"连久道","1"
"连妙淑","1"
"连仲宣","1"
"莲花妓","1"
"良人","1"
"梁安世","1"
"梁宝","1"
"梁补阙","1"
"梁明夫","1"
"梁洽","1"
"梁去惑","1"
"梁升卿","1"
"梁载言","1"
"梁藻","1"
"梁震","1"
"梁知微","1"
"梁陟","1"
"廖处士","1"
"廖匡齐","1"
"廖正一","1"
"邻道场人","1"
"林表民","1"
"林楚才","1"
"林楚材","1"
"林楚翘","1"
"林铎","1"
"林璠","1"
"林逢","1"
"林革","1"
"林横舟","1"
"林洪","1"
"林季仲","1"
"林琨","1"
"林披","1"
"林实之","1"
"林氏","1"
"林式之","1"
"林外","1"
"林无隐","1"
"林先辈","1"
"林珝","1"
"林仰","1"
"林钟宫","1"
"璘禅师","1"
"伶人","1"
"灵岩","1"
"灵业","1"
"灵照","1"
"灵准","1"
"凌行婆","1"
"令狐德棻","1"
"令狐挺","1"
"刘大辨","1"
"刘德秀","1"
"刘鼎臣妻","1"
"刘溉","1"
"刘臯","1"
"刘公兴","1"
"刘公子","1"
"刘珙","1"
"刘谷","1"
"刘贵翁","1"
"刘沆","1"
"刘浩","1"
"刘怀一","1"
"刘季裴","1"
"刘济","1"
"刘戬","1"
"刘涧谷","1"
"刘颉","1"
"刘景复","1"
"刘敬之","1"
"刘菊房","1"
"刘均国","1"
"刘浚","1"
"刘克逊","1"
"刘廓","1"
"刘鲁风","1"
"刘璐","1"
"刘袤","1"
"刘南翁","1"
"刘绮庄","1"
"刘珃","1"
"刘仁父","1"
"刘仁轨","1"
"刘山甫","1"
"刘山老","1"
"刘升","1"
"刘省斋","1"
"刘使君","1"
"刘氏","1"
"刘氏瑶","1"
"刘侍读","1"
"刘守","1"
"刘淑柔","1"
"刘述","1"
"刘思真","1"
"刘坦","1"
"刘天游","1"
"刘彤","1"
"刘羲叟","1"
"刘性初","1"
"刘学颜","1"
"刘炎","1"
"刘夷道","1"
"刘乂","1"
"刘义","1"
"刘义度","1"
"刘应几","1"
"刘应李","1"
"刘应雄","1"
"刘友贤","1"
"刘元济","1"
"刘元叔","1"
"刘元淑","1"
"刘元载妻","1"
"刘源","1"
"刘云甫","1"
"刘皂","1"
"刘章","1"
"刘真","1"
"刘震孙","1"
"刘之翰","1"
"刘仲讷","1"
"刘子玄","1"
"刘𤤺","1"
"留晚香","1"
"留元崇","1"
"留元刚","1"
"柳曾","1"
"柳逢","1"
"柳富","1"
"柳华淑","1"
"柳明献","1"
"龙端是","1"
"龙护老人","1"
"龙女","1"
"龙紫蓬","1"
"楼锷","1"
"卢弼","1"
"卢幷","1"
"卢崇道","1"
"卢诰","1"
"卢茂钦","1"
"卢鉟","1"
"卢群","1"
"卢士政","1"
"卢氏","1"
"卢嵩","1"
"卢条","1"
"卢文纪","1"
"卢献卿","1"
"卢休","1"
"卢秀才","1"
"卢言","1"
"卢邕","1"
"卢栯","1"
"卢载","1"
"卢照隣","1"
"卢真","1"
"卢征","1"
"卢子发","1"
"鲁","1"
"陆汉广","1"
"陆弘休","1"
"陆搢","1"
"陆景初","1"
"陆凭","1"
"陆侍御","1"
"陆象泽","1"
"陆岩梦","1"
"陆游妾某氏","1"
"陆禹臣","1"
"陆蕴","1"
"陆贞洞","1"
"陆子","1"
"路贯","1"
"路洵美","1"
"路岩","1"
"闾丘次杲","1"
"闾丘均","1"
"闾丘晓","1"
"吕价","1"
"吕炅","1"
"吕太一","1"
"吕希纯","1"
"吕颐浩","1"
"吕直夫","1"
"罗椿","1"
"罗炯","1"
"罗泰","1"
"罗万象","1"
"罗维","1"
"罗惜惜","1"
"罗颖","1"
"罗子","1"
"洛阳女","1"
"骆浚","1"
"麻温其","1"
"马成","1"
"马光祖","1"
"马令","1"
"马天骥","1"
"马咸","1"
"马珦","1"
"马彦珪","1"
"马乂","1"
"马彧","1"
"马致恭","1"
"卖药道人","1"
"芒鞵道人","1"
"毛炳","1"
"毛大仙","1"
"毛明素","1"
"毛熙圣","1"
"梅娇","1"
"梅顺淑","1"
"孟安序","1"
"孟翺","1"
"孟不疑","1"
"孟昶","1"
"孟归唐","1"
"孟匡明","1"
"孟翔","1"
"孟婴","1"
"米都知","1"
"密陀僧","1"
"苗仲方","1"
"妙女","1"
"闽王王继鹏","1"
"明解","1"
"冥吏","1"
"谬独一","1"
"莫起炎","1"
"牟子才","1"
"缪氏子","1"
"某大德","1"
"某教授","1"
"某两地","1"
"某邑妓","1"
"木客","1"
"慕容垂","1"
"慕容卿妻","1"
"慕容韦","1"
"南巨川","1"
"南溟夫人","1"
"南唐失名僧","1"
"南唐先主李昪","1"
"南粤","1"
"南诏骠信","1"
"倪君","1"
"聂冠卿","1"
"宁化九龙进士","1"
"牛承直","1"
"牛凤及","1"
"秾华","1"
"欧阳","1"
"欧阳宾","1"
"欧阳朝阳","1"
"欧阳董","1"
"欧阳衮","1"
"欧阳皓","1"
"欧阳辟","1"
"潘良贵","1"
"潘求仁","1"
"潘天锡","1"
"潘图","1"
"潘炜","1"
"潘希白","1"
"潘熊飞","1"
"潘炎","1"
"潘雍","1"
"潘佐","1"
"盼盼","1"
"庞籍","1"
"庞季子","1"
"裴澄","1"
"裴璀","1"
"裴大章","1"
"裴极","1"
"裴杞","1"
"裴淑","1"
"裴谈","1"
"裴相公","1"
"裴铏","1"
"裴玄智","1"
"裴瑶","1"
"裴元","1"
"裴贽","1"
"彭蟾","1"
"彭芳远","1"
"彭叔夏","1"
"彭真君","1"
"彭正大","1"
"郫城令","1"
"平江妓","1"
"平康妓","1"
"鄱阳护…","1"
"蒲禹卿","1"
"蒲宗孟","1"
"濮阳瓘","1"
"朴昂","1"
"普闻","1"
"七岁女子","1"
"栖岩","1"
"戚逍遥","1"
"齐安和尚","1"
"齐镐","1"
"齐己　牟儒","1"
"齐𫖮","1"
"綦毋诚","1"
"启柔","1"
"契从","1"
"契盈","1"
"谦光","1"
"谦明","1"
"钱安安","1"
"钱弘儇","1"
"钱弘偡","1"
"钱可复","1"
"钱朗","1"
"钱宀孙","1"
"钱师悦","1"
"钱叔献","1"
"钱信","1"
"钱戭","1"
"钱元㺷","1"
"强至","1"
"乔氏","1"
"樵夫","1"
"秦尚运","1"
"琴精","1"
"青城丈人","1"
"青幕子妇","1"
"青童","1"
"清观","1"
"清澜","1"
"清尚","1"
"清尚〖1〗","1"
"清闲","1"
"清源真君","1"
"清远道士","1"
"清远居士","1"
"丘说","1"
"曲崇裕","1"
"曲瞻","1"
"去非","1"
"去奢","1"
"权彻","1"
"权龙襄","1"
"仁俭","1"
"任","1"
"任玠","1"
"任氏","1"
"任涛","1"
"任翔龙","1"
"任彦思家鬼","1"
"任要","1"
"任右元","1"
"荣","1"
"荣九思","1"
"荣樵仲","1"
"如晦","1"
"如愚居士","1"
"阮郎中","1"
"阮溪","1"
"阮秀实","1"
"芮烨","1"
"睿宗","1"
"睿宗皇帝","1"
"若水","1"
"若耶溪女子","1"
"三槐","1"
"僧初","1"
"僧儿","1"
"僧法轨","1"
"僧凤","1"
"僧可","1"
"僧子兰","1"
"沙门日进","1"
"沙碛女子","1"
"山东野客","1"
"善道","1"
"商则","1"
"尚宫宋氏若昭","1"
"尚隆之　吴永素","1"
"尚志","1"
"邵伯雍","1"
"邵博","1"
"邵大震","1"
"邵怀英","1"
"邵缉","1"
"邵景","1"
"邵某","1"
"邵升","1"
"邵士彦","1"
"邵元实","1"
"邵真","1"
"邵拙","1"
"绍伯","1"
"谁氏女","1"
"申二官人","1"
"申国章","1"
"申堂构","1"
"神龙从臣","1"
"神禄","1"
"神秀","1"
"神赞","1"
"沈伯文","1"
"沈刚孙","1"
"沈晦","1"
"沈麟","1"
"沈明叔","1"
"沈宁","1"
"沈鹏","1"
"沈钦","1"
"沈青箱","1"
"沈韬文","1"
"沈元实","1"
"沈长卿","1"
"沈注","1"
"沈祖仙","1"
"慎氏","1"
"省吏","1"
"盛小丛","1"
"失撰人名","1"
"师静","1"
"师虔","1"
"施乘之","1"
"施酒监","1"
"施逵","1"
"石安民","1"
"石抱忠","1"
"石敦夫","1"
"石惠泰","1"
"石季武","1"
"石恪","1"
"石文德","1"
"石严","1"
"石倚","1"
"史介翁","1"
"史隽之","1"
"史君宝","1"
"史俊","1"
"史弥巩","1"
"史维翰","1"
"史虚白","1"
"史愚","1"
"史瑜","1"
"史远道","1"
"史铸","1"
"史佐尧","1"
"释岸","1"
"释彪","1"
"释明解","1"
"释元康","1"
"嗜酒道人","1"
"守安","1"
"寿涯禅师","1"
"书生","1"
"叔孙玄观","1"
"淑徳郡主","1"
"舒邦佐","1"
"舒大成","1"
"舒氏","1"
"蜀妓","1"
"蜀中妓","1"
"蜀中酒阁道人","1"
"双渐","1"
"水心寺僧","1"
"司马□","1"
"司马逸客","1"
"松洲","1"
"宋德广","1"
"宋迪","1"
"宋丰之","1"
"宋江","1"
"宋齐愈","1"
"宋休","1"
"宋元素","1"
"宋自道","1"
"宋自然","1"
"苏过","1"
"苏焜","1"
"苏琼","1"
"苏十能","1"
"苏替","1"
"苏绾","1"
"苏溪和尚","1"
"苏小娘","1"
"苏小小","1"
"苏易简","1"
"苏芸","1"
"苏允平","1"
"苏仲及","1"
"苏州刺史","1"
"苏㝢","1"
"随车娘子","1"
"孙","1"
"孙誧","1"
"孙觌","1"
"孙夫人","1"
"孙革","1"
"孙顾","1"
"孙光宪同寮","1"
"孙翃","1"
"孙佺","1"
"孙蜀","1"
"孙望","1"
"孙望辑录","1"
"孙吴会","1"
"孙咸","1"
"孙岘","1"
"孙欣","1"
"孙舣","1"
"孙子多","1"
"拓善","1"
"太白山神","1"
"太白山玄士","1"
"太上隐君","1"
"太守","1"
"太尉夫人","1"
"太学士人","1"
"太学诸生","1"
"太乙真君","1"
"太易","1"
"太原妓","1"
"昙伦","1"
"昙翼","1"
"谈元范","1"
"覃怀高","1"
"谭方平","1"
"汤思退","1"
"汤洙","1"
"唐朝美","1"
"唐镐","1"
"唐庚","1"
"唐末朝士","1"
"唐末僧","1"
"唐温如","1"
"唐尧臣","1"
"唐尧客","1"
"唐远悊","1"
"唐致政","1"
"韬光","1"
"桃花夫人","1"
"陶敞","1"
"陶拱","1"
"陶令君","1"
"陶明淑","1"
"陶氏","1"
"陶彝之","1"
"滕宗谅","1"
"苐五琦","1"
"天宝时人","1"
"天峤游人","1"
"天目僧","1"
"田淳","1"
"田达诚借宅鬼","1"
"田游岩","1"
"铁笔翁","1"
"庭实","1"
"同州判官","1"
"童养年","1"
"鲖阳居士","1"
"屠瓌智","1"
"万回","1"
"万某","1"
"万俟造","1"
"万彤云","1"
"汪存","1"
"汪辅之","1"
"汪万于","1"
"汪相如","1"
"王□□","1"
"王昂","1"
"王柏","1"
"王苍","1"
"王承旨","1"
"王宠","1"
"王处厚","1"
"王道亨","1"
"王德真","1"
"王阜民","1"
"王干","1"
"王庚","1"
"王肱","1"
"王拱辰","1"
"王广文","1"
"王龟","1"
"王国华","1"
"王宏","1"
"王淮","1"
"王槐建","1"
"王涣","1"
"王家乐","1"
"王坚","1"
"王娇姿","1"
"王景","1"
"王景中","1"
"王迥","1"
"王巨仁","1"
"王俊","1"
"王锴","1"
"王克勤","1"
"王揆","1"
"王澜","1"
"王冷然","1"
"王丽真女郎","1"
"王良会","1"
"王璘","1"
"王鲁","1"
"王茂时","1"
"王梦周","1"
"王彭年","1"
"王平子","1"
"王清观","1"
"王清惠","1"
"王去疾","1"
"王融","1"
"王若嵒","1"
"王赏","1"
"王邵","1"
"王绍","1"
"王绍宗","1"
"王师锡","1"
"王识","1"
"王氏女","1"
"王枢","1"
"王苏苏","1"
"王廷珪","1"
"王万之","1"
"王威德","1"
"王洧","1"
"王羡门","1"
"王孝严","1"
"王玄","1"
"王铉","1"
"王学文","1"
"王言史","1"
"王沂","1"
"王亿之","1"
"王易从","1"
"王益","1"
"王益柔","1"
"王泳祖","1"
"王有初","1"
"王幼玉","1"
"王玉","1"
"王约","1"
"王月山","1"
"王越宾","1"
"王云焕","1"
"王枳","1"
"王志安","1"
"王重民","1"
"王重民辑录，刘修业整理。","1"
"王祝","1"
"王卓","1"
"王自中","1"
"王𩔪","1"
"危昂霄","1"
"危复之","1"
"危西麓","1"
"危仔昌","1"
"韦澳","1"
"韦表微","1"
"韦曾","1"
"韦道逊","1"
"韦鼎","1"
"韦洪","1"
"韦敬辨","1"
"韦居安","1"
"韦铿","1"
"韦能谦","1"
"韦谦","1"
"韦青","1"
"韦添","1"
"韦镒","1"
"韦膺","1"
"韦振","1"
"韦执中","1"
"韦遵","1"
"卫光一","1"
"卫填","1"
"卫万","1"
"卫叶","1"
"卫准","1"
"尉迟汾","1"
"尉迟匡","1"
"尉佗","1"
"魏兼恕","1"
"魏峦","1"
"魏朋妻","1"
"魏求己","1"
"魏掞之","1"
"魏氏","1"
"魏顺之","1"
"魏证","1"
"魏子敬","1"
"温达","1"
"文德皇后","1"
"文鉴","1"
"文珏","1"
"文彦博","1"
"闻人武子","1"
"翁","1"
"翁定","1"
"邬虑","1"
"无何有翁","1"
"无际道人","1"
"无了","1"
"无名女鬼","1"
"无名释","1"
"无闻翁","1"
"无作","1"
"吴霭","1"
"吴彩鸾","1"
"吴城小龙女","1"
"吴大江","1"
"吴大有","1"
"吴党","1"
"吴德远","1"
"吴二娘","1"
"吴芾","1"
"吴感","1"
"吴公","1"
"吴涵虚","1"
"吴杰","1"
"吴景伯","1"
"吴龙翰","1"
"吴蒙庵","1"
"吴秘","1"
"吴敏德","1"
"吴穆仲","1"
"吴淇","1"
"吴千能","1"
"吴黔","1"
"吴人","1"
"吴申","1"
"吴师孟","1"
"吴氏1","1"
"吴氏2","1"
"吴势卿","1"
"吴叔","1"
"吴叔达","1"
"吴叔虎","1"
"吴淑虎","1"
"吴淑姬2","1"
"吴淑真","1"
"吴舜选","1"
