"author","undated_poem_count"
"石麟","5"
"水府君","5"
"宋华","5"
"唐晅妻张氏","5"
"田娥","5"
"同谷子","5"
"王从叔","5"
"王梦应","5"
"王溥","5"
"王正己","5"
"文丙","5"
"翁孟寅","5"
"翁溪园","5"
"无名僧","5"
"吴某","5"
"吴清妻","5"
"吴氏3","5"
"吴越失姓名人","5"
"向滈","5"
"晓峦","5"
"熊禾","5"
"徐浩","5"
"徐经孙","5"
"徐晶","5"
"徐九臯","5"
"徐锴","5"
"徐似道","5"
"徐照","5"
"许庭","5"
"玄奘","5"
"玄宗皇帝李隆基","5"
"延沼","5"
"阎宽","5"
"颜荛","5"
"杨焕","5"
"杨希道","5"
"姚宽","5"
"尹济翁","5"
"用虚","5"
"元淳","5"
"袁朗","5"
"云台峰五女仙","5"
"张鼎","5"
"张文规","5"
"张易之","5"
"张孜","5"
"赵福元","5"
"赵鸾鸾","5"
"赵士","5"
"赵与仁","5"
"郑綮","5"
"钟离权","5"
"周𣸣","5"
"朱君绪","5"
"祝元膺","5"
"鲍氏君徽","4"
"步非烟","4"
"蔡京","4"
"曾允元","4"
"常浩","4"
"陈","4"
"陈东","4"
"陈宫妃嫔","4"
"陈蓬","4"
"陈恕可","4"
"陈坦之","4"
"陈文亮","4"
"陈晔","4"
"陈义","4"
"陈郁","4"
"崔公远","4"
"崔全素","4"
"崔仲容","4"
"澹交","4"
"狄焕","4"
"丁宥","4"
"杜龙沙","4"
"法珍","4"
"冯著","4"
"甘露寺鬼","4"
"高瑾","4"
"高似孙","4"
"纥干著","4"
"耿时举","4"
"宫嫔","4"
"光业","4"
"郭子仪","4"
"韩常侍","4"
"韩仲宣","4"
"何","4"
"何希尧","4"
"后唐庄宗","4"
"胡玢","4"
"胡君防","4"
"胡令能","4"
"胡于","4"
"黄孝迈","4"
"慧棱","4"
"慧宣","4"
"吉师老","4"
"贾驰","4"
"贾彦璋","4"
"鉴堂","4"
"江开","4"
"金车美人","4"
"开成时儒","4"
"空海","4"
"李浩","4"
"李家明","4"
"李迥秀","4"
"李梦符","4"
"李琪","4"
"李深","4"
"李新","4"
"李玄光","4"
"李愿","4"
"李重元","4"
"林仙人","4"
"刘几","4"
"刘景翔","4"
"刘澜","4"
"刘允济","4"
"刘知几","4"
"刘子翚","4"
"楼钥","4"
"陆敬","4"
"吕同老","4"
"马异","4"
"梅坡","4"
"倪翼周","4"
"钱弘倧","4"
"钱熙","4"
"钱昱","4"
"曲龙山仙","4"
"邵桂子","4"
"沈括","4"
"沈廷瑞","4"
"沈与求","4"
"石正伦","4"
"苏涣","4"
"苏辙","4"
"唐珏","4"
"唐廪","4"
"唐明皇","4"
"陶埴","4"
"滕传胤","4"
"滕潜","4"
"万齐融","4"
"万俟绍之","4"
"汪宗臣","4"
"王感化","4"
"王延彬","4"
"王偃","4"
"韦璜","4"
"魏璞","4"
"温镗","4"
"吴淑姬1","4"
"吴翊","4"
"吴元可","4"
"奚贾","4"
"萧汉杰","4"
"谢勮","4"
"辛弘智","4"
"徐安国","4"
"徐宝之","4"
"薛令之","4"
"薛梦桂","4"
"薛戎","4"
"薛馧","4"
"叶景山","4"
"易思","4"
"尹懋","4"
"游九言","4"
"元万顷","4"
"张纮","4"
"张荐","4"
"张侃","4"
"张绍文","4"
"张随","4"
"张文姬","4"
"张元一","4"
"赵","4"
"赵必��","4"
"赵时奚","4"
"赵彦伯","4"
"赵子崧","4"
"甄龙友","4"
"郑启","4"
"郑仁表","4"
"郑熏初","4"
"郑辕","4"
"郑𫓩","4"
"织女","4"
"智常","4"
"钟谟","4"
"周纯","4"
"周存","4"
"周元范","4"
"朱千乘","4"
"卓英英","4"
"百兰","3"
"包贺","3"
